Vessels in port
MARIANNE
 FILIPPA
 WORKING
 BOATMAN 1
 SAN MIGUEL
 AF DIVER
 PILOT KAPT.KIRCHEISS
 S/S BOHUSLAN
 AXEL M
 FREYA
 BOATMAN 9
 MANDALAY
 PADDAN 12
 TOFTE
 NORDIC ACE
 BARSWEEP ONE
 STARKODDER
 RAN
 GRATIA
 GOTHEBORG
 TERNHAV
 STENA SCANDINAVICA
 BELLADONNA II
 HELUAN
 NIXE
 BIT OKTANIA
 SNOKEN
 ATLANTICA
 MALMO
 FLEUR-DE-MER
 DIANA
 FOXY LADY (IMX-40)
 FOX SUNRISE
 PADDAN 11
 SVANEN WEST
 GOTEBORG
 HILMA
 ANNA
 EMM XXIII (M23)
 STOCKHOLM
 AURORA
 FRAGA LUNDH
 ST ERIK
 ESTROMO
 BIT POWER
 SEALIFE
 GOLIATH
 2655150
 BELLA
 HAMNEN
 ELVY
 PILOT 745 SE
 VG 40 NORDVAAG
 ALVSNABBEN 3
 PILOT 794 SE
 CARL MICHAEL BELLMAN
 TANKSKAR
 ELISALEX SCHULTE
 TRUBADUREN
 GOTE II
 FROG CYGNUS
 ALVFRIDA
 ALVELI
 PILOT 740 SE
 STENA VINGA
 SVITZER GEO
 RON
 ALVSNABBEN 4
 MEDVIND
 ALVSNABBEN 5
 SOUND HORIZON
 SVITZER ODEN
 GRATITUDE
